Title,Dashboard Description,Dashboard POC,Last Updated,Dashboard Link,Dashboard Type,Views,Dashboard Access
FlightAware Data,APC analysis of global traffic utilizing Flight Aware data.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/4398,Tableau,93,Open
Aviation Safety,Aviation safety acronyms and definitions.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/3048,Tableau,477,Open
Country Profile Data Sheet,2020 GLIDE country profile data sheets.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22354,Tableau,0,Restricted
Country Profile Data Sheet,Country profile data sheets.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/6263,Tableau,499,Open
FAA Global Footprint (Guest),FAA global presence acronyms and definitions open to guest users.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/7901,Tableau,475,Open
GLIDE Regional Groups,2020 GLIDE regional groups.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22358,Tableau,0,Restricted
2019 FAA GLIDE Tableau Homepage,2019 version of FAA GLIDE homepage,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/15585,Tableau,5,Restricted
GLIDE Corporate Dataset Guest,2020 GLIDE listing of corporate data sets.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22359,Tableau,0,Restricted
FAA GLIDE Homepage,FAA GLIDE homepage.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/3977,Tableau,65,Open
FAA_GLIDE_FAAGlobalFootprint_2017.07.24,2017 FAA global presence acronyms and definitions.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/10616,Tableau,1,Open
2019 GLIDE Corporate Dataset,Listing of GLIDE data sets.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/15591,Tableau,4,Restricted
2019 Aviation Safety,Data definitions for Aviation Safety,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/15587,Tableau,1,Restricted
GLIDE Corporate Dataset,FAA GLIDE corporate data set general state/dependency information.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/3976,Tableau,227,Open
FAA Global Footprint,FAA presence around the globe.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/2921,Tableau,230,Open
2019 Country Profile Data Sheet,Country profile data sheets,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/15584,Tableau,2,Restricted
2019 ICAO Influence,ICAO Acronym definitions and references.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/15589,Tableau,1,Restricted
2019 GLIDE Regional Groups,FAA regions,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/15590,Tableau,0,Restricted
FAA Training Information,FAA training efforts with foreign entities.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/3045,Tableau,122,Open
SSM,Surface Safety Metric Dashboard,"Khorrami, Mandana CTR (FAA)",7/7/2025,https://tableau.faa.gov/#/site/_ATO/workbooks/22223,Tableau,2483,Open
ATO DISASTER FINANCIAL DASHBOARD,ATO Disaster Financial Dashboard,"Wu, Wah-Keng (FAA)",3/28/2025,https://tableau.faa.gov/#/site/_AJG/workbooks/28826,Tableau,216,Restricted
